subject,rt,stim,se,category,response
13,919,9830.jpg,111,NegativeNonsocial,1
13,1181,2593.jpg,111,NeutralSocial,1
13,974,2900.1.jpg,111,NegativeSocial,1
13,3179,1920.jpg,111,PositiveNonsocial,1
13,893,9429.jpg,111,NegativeSocial,1
13,1894,8510.jpg,111,PositiveNonsocial,1
13,886,7150.jpg,111,NeutralNonsocial,1
13,1478,2383.jpg,111,NeutralSocial,1
13,975,2397.jpg,111,NeutralSocial,1
13,1398,2650.jpg,111,PositiveSocial,1
13,978,3101.jpg,111,NegativeSocial,1
13,1310,7217.jpg,111,NeutralNonsocial,1
13,2382,2396.jpg,111,NeutralSocial,1
13,1083,7211.jpg,111,NeutralNonsocial,1
13,838,2210.jpg,111,NeutralSocial,1
13,1635,2165.jpg,111,PositiveSocial,1
13,934,1220.jpg,111,NegativeNonsocial,1
13,678,8502.jpg,111,PositiveNonsocial,1
13,806,7330.jpg,111,PositiveNonsocial,1
13,898,2221.jpg,111,NeutralSocial,0
13,809,1710.jpg,111,PositiveNonsocial,1
13,2152,7041.jpg,111,NeutralNonsocial,1
13,917,4605.jpg,111,NeutralSocial,1
13,1531,2205.jpg,111,NegativeSocial,1
13,747,2050.jpg,111,PositiveSocial,1
13,1033,1811.jpg,111,PositiveNonsocial,1
13,724,7508.jpg,111,PositiveNonsocial,1
13,1390,7035.jpg,111,NeutralNonsocial,0
13,858,9421.jpg,111,NegativeSocial,1
13,863,9415.jpg,111,NegativeSocial,1
13,2516,9290.jpg,111,NegativeNonsocial,1
13,1190,3350.jpg,111,NegativeSocial,1
13,924,7034.jpg,111,NeutralNonsocial,0
14,1534,1710.jpg,81,PositiveNonsocial,1
14,1490,9429.jpg,81,NegativeSocial,1
14,1841,9220.jpg,81,NegativeSocial,1
14,1585,7010.jpg,81,NeutralNonsocial,1
14,1353,2383.jpg,81,NeutralSocial,0
14,1711,9421.jpg,81,NegativeSocial,0
14,3230,9290.jpg,81,NegativeNonsocial,1
14,1463,2397.jpg,81,NeutralSocial,1
14,1489,8420.jpg,81,PositiveSocial,1
14,1569,2210.jpg,81,NeutralSocial,0
14,1471,7480.jpg,81,PositiveNonsocial,1
14,1012,2206.jpg,81,NeutralSocial,1
14,1539,2388.jpg,81,PositiveSocial,1
14,1436,7211.jpg,81,NeutralNonsocial,1
14,1570,9630.jpg,81,NegativeNonsocial,1
14,4287,2224.jpg,81,PositiveSocial,0
14,1142,7002.jpg,81,NeutralNonsocial,1
14,1408,7034.jpg,81,NeutralNonsocial,1
14,5265,2276.jpg,81,NegativeSocial,0
14,1116,2209.jpg,81,PositiveSocial,1
14,1558,2340.jpg,81,PositiveSocial,1
14,1337,1920.jpg,81,PositiveNonsocial,1
14,907,2154.jpg,81,PositiveSocial,1
14,1910,9140.jpg,81,NegativeNonsocial,0
14,1373,9620.jpg,81,NegativeNonsocial,1
14,1116,7035.jpg,81,NeutralNonsocial,1
14,1513,2104.jpg,81,NeutralSocial,0
14,1083,9520.jpg,81,NegativeSocial,1
14,1423,2579.jpg,81,NeutralSocial,1
14,774,7090.jpg,81,NeutralNonsocial,1
14,1416,7217.jpg,81,NeutralNonsocial,1
14,1414,2165.jpg,81,PositiveSocial,1
14,3295,2593.jpg,81,NeutralSocial,0
14,4321,9419.jpg,81,NegativeSocial,1
14,1638,2650.jpg,81,PositiveSocial,1
14,808,7460.jpg,81,PositiveNonsocial,1
14,1493,3350.jpg,81,NegativeSocial,1
14,2351,3230.jpg,81,NegativeSocial,1
14,1631,9560.jpg,81,NegativeNonsocial,1
14,999,5120.jpg,81,NeutralNonsocial,1
14,1766,2446.jpg,81,NeutralSocial,1
14,803,7224.jpg,81,NeutralNonsocial,1
14,779,7041.jpg,81,NeutralNonsocial,1
14,1037,7055.jpg,81,NeutralNonsocial,1
14,1823,9561.jpg,81,NegativeNonsocial,1
14,1677,6150.jpg,81,NeutralNonsocial,1
14,1482,9415.jpg,81,NegativeSocial,1
14,1276,2050.jpg,81,PositiveSocial,1
14,2107,7508.jpg,81,PositiveNonsocial,1
14,1493,2703.jpg,81,NegativeSocial,1
14,1582,7595.jpg,81,NeutralNonsocial,1
14,791,7235.jpg,81,NeutralNonsocial,0
14,1337,8510.jpg,81,PositiveNonsocial,1
14,918,1270.jpg,81,NegativeNonsocial,1
14,3735,2900.1.jpg,81,NegativeSocial,1
14,2415,2393.jpg,81,NeutralSocial,0
14,1802,8461.jpg,81,PositiveSocial,1
14,759,8502.jpg,81,PositiveNonsocial,1
14,900,8540.jpg,81,PositiveSocial,1
14,758,7330.jpg,81,PositiveNonsocial,1
