pnum,year,landmark,DE,DB
80,4,Carmichael Hall,0.281798746,-0.281798746
80,4,Dewick,0.23178357,-0.23178357
80,4,Dowling Hall,0.161574398,-0.161574398
80,4,Goddard Chapel,0.110636754,-0.110636754
80,4,Olin Center,0.148401188,-0.148401188
80,4,Tisch Library,0.156970637,-0.156970637
82,4,Brown & Brew,0.119432531,-0.027344111
82,4,Campus Center,0.127455625,-0.110382712
82,4,Carmichael Hall,0.159227318,-0.159227318
82,4,Dewick,0.073854833,-0.041212141
82,4,Dowling Hall,0.129860112,-0.129860112
82,4,Goddard Chapel,0.091504454,-0.016065325
82,4,Olin Center,0.059877928,-0.022401188
82,4,Tisch Library,0.127027384,-0.101256351
83,4,Brown & Brew,0.281409436,0.254370175
83,4,Campus Center,0.127842956,0.088760145
83,4,Carmichael Hall,0.076300891,-0.057798746
83,4,Dewick,0.145990762,0.135930716
83,4,Dowling Hall,0.173367865,0.104425602
83,4,Goddard Chapel,0.21721874,0.114791818
83,4,Olin Center,0.149381062,0.074741669
83,4,Tisch Library,0.137496536,0.062743649
86,4,Brown & Brew,0.084019136,-0.082486968
86,4,Campus Center,0.161765754,-0.005525569
86,4,Carmichael Hall,0.081823161,-0.020370175
86,4,Dewick,0.137577697,0.055930716
86,4,Dowling Hall,0.103075553,-0.029860112
86,4,Goddard Chapel,0.136184098,0.061077532
86,4,Olin Center,0.075232597,-0.070401188
86,4,Tisch Library,0.106598482,-0.022399208
90,4,Brown & Brew,0.121179149,-0.032201254
90,4,Campus Center,0.045373144,-0.023525569
90,4,Carmichael Hall,0.091381722,0.056772682
90,4,Dewick,0.060203893,0.001073573
90,4,Dowling Hall,0.080706038,-0.057002969
90,4,Goddard Chapel,0.080367535,0.029648961
90,4,Olin Center,0.078544375,0.077884527
90,4,Tisch Library,0.095512372,-0.010113494
91,4,Brown & Brew,0.150032992,0.109513032
91,4,Campus Center,0.09500165,-0.006382712
91,4,Carmichael Hall,0.088861762,-0.049798746
91,4,Dewick,0.128440779,0.029930716
91,4,Dowling Hall,0.118944243,-0.053574398
91,4,Goddard Chapel,0.057706368,0.022506104
91,4,Olin Center,0.114809634,0.057313098
91,4,Tisch Library,0.11952227,0.029029363
94,4,Brown & Brew,0.084105576,0.011513032
94,4,Campus Center,0.055367206,-0.014382712
94,4,Carmichael Hall,0.118330584,-0.073798746
94,4,Dewick,0.077291983,-0.014640713
94,4,Dowling Hall,0.115497196,0.029282745
94,4,Goddard Chapel,0.064405807,0.029648961
94,4,Olin Center,0.068286374,0.013884527
94,4,Tisch Library,0.059902342,0.043315078
95,4,Brown & Brew,0.108487628,-0.021915539
95,4,Campus Center,0.082512702,-0.066096998
95,4,Carmichael Hall,0.146084461,-0.146084461
95,4,Dewick,0.068265259,-0.065497855
95,4,Dowling Hall,0.050819532,-0.022431541
95,4,Goddard Chapel,0.058665787,0.027077532
95,4,Olin Center,0.054946882,-0.052401188
95,4,Tisch Library,0.051516331,-0.02782778
